Data,Categoria,CONSUMO,CONSUMIDORES,Tipo_consumidor
2007-03-01,Industrial,6110682.0,517002.0,CATIVO
2007-03-01,Outros,4181666.0,3786624.0,CATIVO
2007-03-01,Residencial,7594317.0,50794759.0,CATIVO
2007-03-01,SHV,5106370,17854372,CATIVO
2007-03-01,CHV,6745554,1008,LIVRE
2007-03-01,Comercial,118403.0,117,LIVRE
2007-03-01,Industrial,8165816.0,851,LIVRE
2007-03-01,Outros,160949.0,40,LIVRE
2007-03-01,Residencial,0.0,0,LIVRE
2007-03-01,SHV,1699614,101,LIVRE
2007-04-01,CHV,18235232,59555275,CATIVO
2007-04-01,Comercial,5155623.0,4443663.0,CATIVO
2007-04-01,Industrial,6298314.0,515303.0,CATIVO
2007-04-01,Outros,4328461.0,3787141.0,CATIVO
2007-04-01,Residencial,7728826.0,50809168.0,CATIVO
2007-04-01,SHV,5275992,17773326,CATIVO
2007-04-01,CHV,6844698,1022,LIVRE
2007-04-01,Comercial,131718.0,121,LIVRE
2007-04-01,Industrial,8212809.0,861,LIVRE
2007-04-01,Outros,174993.0,40,LIVRE
2007-04-01,Residencial,0.0,0,LIVRE
2007-04-01,SHV,1674822,105,LIVRE
2007-05-01,CHV,17437899,59748280,CATIVO
2007-05-01,Comercial,4745510.0,4454119.0,CATIVO
2007-05-01,Industrial,6202432.0,515456.0,CATIVO
2007-05-01,Outros,4300847.0,3809845.0,CATIVO
2007-05-01,Residencial,7491488.0,50968860.0,CATIVO
2007-05-01,SHV,5302378,17856812,CATIVO
2007-05-01,CHV,6922849,1048,LIVRE
2007-05-01,Comercial,118608.0,122,LIVRE
2007-05-01,Industrial,8355324.0,886,LIVRE
2007-05-01,Outros,168708.0,40,LIVRE
2007-05-01,Residencial,0.0,0,LIVRE
2007-05-01,SHV,1719791,105,LIVRE
2007-06-01,CHV,16859100,59931782,CATIVO
2007-06-01,Comercial,4450888.0,4463096.0,CATIVO
2007-06-01,Industrial,6291358.0,516307.0,CATIVO
2007-06-01,Outros,4220273.0,3831434.0,CATIVO
2007-06-01,Residencial,7204161.0,51120945.0,CATIVO
2007-06-01,SHV,5307580,17933404,CATIVO
2007-06-01,CHV,6928761,1103,LIVRE
2007-06-01,Comercial,136252.0,162,LIVRE
2007-06-01,Industrial,8290954.0,900,LIVRE
2007-06-01,Outros,172874.0,41,LIVRE
2007-06-01,Residencial,0.0,0,LIVRE
2007-06-01,SHV,1671319,105,LIVRE
2007-07-01,CHV,16524070,60058994,CATIVO
2007-07-01,Comercial,4353510.0,4470386.0,CATIVO
2007-07-01,Industrial,6179612.0,517260.0,CATIVO
2007-07-01,Outros,4204461.0,3854362.0,CATIVO
2007-07-01,Residencial,7071277.0,51216986.0,CATIVO
2007-07-01,SHV,5284790,18010699,CATIVO
2007-07-01,CHV,6932591,1119,LIVRE
2007-07-01,Comercial,133378.0,157,LIVRE
2007-07-01,Industrial,8389591.0,918,LIVRE
